"product_id","product_variant_id"
"10458","1"
"10154","2"
"10457","3"
"10159","4"
"10155","5"
"10174","6"
"11166","7"
"11188","8"
"11189","9"
"10651","10"
"11439","11"
"10505","12"
"12244","13"
"12458","14"
"12467","15"
"12571","16"
"10153","17"
"10156","18"
"10157","19"
"10158","20"
"10160","21"
"10161","22"
"10162","23"
"10163","24"
"10164","25"
"10165","26"
"10166","27"
"10167","28"
"10168","29"
"10169","30"
"10170","31"
"10171","32"
"10172","33"
"10173","34"
"10175","35"
"10176","36"
"10177","37"
"10178","38"
"10179","39"
"10180","40"
"10181","41"
"10182","42"
"10183","43"
"10184","44"
"10185","45"
"10186","46"
"10187","47"
"10188","48"
"10189","49"
"10190","50"
"10191","51"
"10192","52"
"10193","53"
"10194","54"
"10195","55"
"10196","56"
"10197","57"
"10198","58"
"10199","59"
"10200","60"
"10201","61"
"10202","62"
"10203","63"
"10204","64"
"10205","65"
"10206","66"
"10207","67"
"10208","68"
"10209","69"
"10210","70"
"10211","71"
"10212","72"
"10213","73"
"10214","74"
"10215","75"
"10216","76"
"10217","77"
"10218","78"
"10219","79"
"10220","80"
"10221","81"
"10222","82"
"10223","83"
"10224","84"
"10225","85"
"10226","86"
"10227","87"
"10228","88"
"10229","89"
"10230","90"
"10231","91"
"10232","92"
"10233","93"
"10234","94"
"10235","95"
"10236","96"
"10237","97"
"10238","98"
"10239","99"
"10240","100"
"10241","101"
"10242","102"
"10243","103"
"10244","104"
"10245","105"
"10246","106"
"10247","107"
"10248","108"
"10249","109"
"10302","162"
"10250","110"
"10251","111"
"10252","112"
"10253","113"
"10254","114"
"10255","115"
"10256","116"
"10257","117"
"10258","118"
"10259","119"
"10260","120"
"10261","121"
"10262","122"
"10263","123"
"10264","124"
"10369","229"
"10265","125"
"10266","126"
"10267","127"
"10268","128"
"10269","129"
"10270","130"
"10271","131"
"10272","132"
"10273","133"
"10274","134"
"10275","135"
"10276","136"
"10277","137"
"10278","138"
"10279","139"
"10280","140"
"10281","141"
"10282","142"
"10283","143"
"10284","144"
"10285","145"
"10286","146"
"10287","147"
"10288","148"
"10289","149"
"10290","150"
"10291","151"
"10292","152"
"10293","153"
"10294","154"
"10295","155"
"10296","156"
"10297","157"
"10298","158"
"10299","159"
"10300","160"
"10301","161"
"10303","163"
"10304","164"
"10305","165"
"10306","166"
"10307","167"
"10308","168"
"10309","169"
"10310","170"
"10311","171"
"10312","172"
"10313","173"
"10314","174"
"10315","175"
"10316","176"
"10317","177"
"10318","178"
"10319","179"
"10320","180"
"10321","181"
"10322","182"
"10323","183"
"10324","184"
"10325","185"
"10326","186"
"10327","187"
"10328","188"
"10329","189"
"10330","190"
"10331","191"
"10332","192"
"10333","193"
"10334","194"
"10335","195"
"10336","196"
"10337","197"
"10338","198"
"10339","199"
"10340","200"
"10341","201"
"10342","202"
"10343","203"
"10344","204"
"10345","205"
"10346","206"
"10347","207"
"10348","208"
"10349","209"
"10350","210"
"10351","211"
"10352","212"
"10353","213"
"10354","214"
"10355","215"
"10356","216"
"10357","217"
"10358","218"
"10359","219"
"10360","220"
"10361","221"
"10362","222"
"10363","223"
"10364","224"
"10365","225"
"10366","226"
"10367","227"
"10368","228"
"10370","230"
"10371","231"
"10372","232"
"10373","233"
"10374","234"
"10375","235"
"10376","236"
"10377","237"
"10378","238"
"10379","239"
"10380","240"
"10381","241"
"10382","242"
"10383","243"
"10384","244"
"10385","245"
"10386","246"
"10387","247"
"10388","248"
"10389","249"
"10390","250"
"10391","251"
"10392","252"
"10393","253"
"10394","254"
"10395","255"
"10396","256"
"10397","257"
"10398","258"
"10399","259"
"10400","260"
"10401","261"
"10402","262"
"10403","263"
"10404","264"
"10405","265"
"10465","323"
"10406","266"
"10407","267"
"10408","268"
"10409","269"
"10410","270"
"10411","271"
"10412","272"
"10413","273"
"10414","274"
"10415","275"
"10416","276"
"10417","277"
"10418","278"
"10419","279"
"10420","280"
"10421","281"
"10422","282"
"10423","283"
"10424","284"
"10425","285"
"10426","286"
"10427","287"
"10428","288"
"10429","289"
"10430","290"
"10431","291"
"10432","292"
"10433","293"
"10434","294"
"10435","295"
"10436","296"
"10437","297"
"10438","298"
"10439","299"
"10440","300"
"10441","301"
"10442","302"
"10443","303"
"10444","304"
"10445","305"
"10446","306"
"10447","307"
"10448","308"
"10449","309"
"10450","310"
"10451","311"
"10452","312"
"10453","313"
"10454","314"
"10455","315"
"10456","316"
"10459","317"
"10460","318"
"10461","319"
"10462","320"
"10463","321"
"10464","322"
"10466","324"
"10467","325"
"10468","326"
"10469","327"
"10470","328"
"10471","329"
"10472","330"
"10473","331"
"10474","332"
"10475","333"
"10476","334"
"10477","335"
"10478","336"
"10479","337"
"10480","338"
"10481","339"
"10482","340"
"10483","341"
"10484","342"
"10485","343"
"10486","344"
"10487","345"
"10488","346"
"10489","347"
"10490","348"
"10491","349"
"10492","350"
"10493","351"
"10494","352"
"10495","353"
"10496","354"
"10497","355"
"10498","356"
"10499","357"
"10500","358"
"10501","359"
"10502","360"
"10503","361"
"10504","362"
"10506","363"
"10507","364"
"10508","365"
"10509","366"
"10510","367"
"10511","368"
"10512","369"
"10513","370"
"10514","371"
"10515","372"
"10516","373"
"10517","374"
"10518","375"
"10519","376"
"10520","377"
"10521","378"
"10522","379"
"10523","380"
"10524","381"
"10525","382"
"10526","383"
"10527","384"
"10528","385"
"10529","386"
"10530","387"
"10531","388"
"10532","389"
"10533","390"
"10534","391"
"10535","392"
"10536","393"
"10537","394"
"10538","395"
"10539","396"
"10540","397"
"10541","398"
"10542","399"
"10543","400"
"10544","401"
"10545","402"
"10546","403"
"10547","404"
"10548","405"
"10549","406"
"10550","407"
"10551","408"
"10552","409"
"10553","410"
"10554","411"
"10555","412"
"10556","413"
"10557","414"
"10558","415"
"10559","416"
"10560","417"
"10561","418"
"10562","419"
"10563","420"
"10564","421"
"10565","422"
"10566","423"
"10567","424"
"10568","425"
"10569","426"
"10570","427"
"10571","428"
"10572","429"
"10573","430"
"10574","431"
"10575","432"
"10576","433"
"10577","434"
"10578","435"
"10579","436"
"10580","437"
"10581","438"
"10582","439"
"10583","440"
"10584","441"
"10585","442"
"10586","443"
"10587","444"
"10588","445"
"10589","446"
"10590","447"
"10591","448"
"10592","449"
"10593","450"
"10594","451"
"10595","452"
"10596","453"
"10597","454"
"10598","455"
"10599","456"
"10600","457"
"10601","458"
"10602","459"
"10603","460"
"10604","461"
"10605","462"
"10606","463"
"10607","464"
"10608","465"
"10609","466"
"10610","467"
"10611","468"
"10612","469"
"10613","470"
"10614","471"
"10615","472"
"10616","473"
"10617","474"
"10618","475"
"10619","476"
"10620","477"
"10621","478"
"10622","479"
"10623","480"
"10624","481"
"10625","482"
"10626","483"
"10627","484"
"10628","485"
"10629","486"
"10630","487"
"10631","488"
"10632","489"
"10633","490"
"10634","491"
"10635","492"
"10636","493"
"10637","494"
"10638","495"
"10639","496"
"10640","497"
"10641","498"
"10642","499"
"10643","500"
"10644","501"
"10645","502"
"10646","503"
"10647","504"
"10648","505"
"10649","506"
"10650","507"
"10652","508"
"10653","509"
"10654","510"
"10655","511"
"10656","512"
"10657","513"
"10658","514"
"10659","515"
"10660","516"
"10661","517"
"10662","518"
"10663","519"
"10664","520"
"10665","521"
"10666","522"
"10667","523"
"10668","524"
"10669","525"
"10670","526"
"10671","527"
"10672","528"
"10673","529"
"10674","530"
"10675","531"
"10676","532"
"10677","533"
"10678","534"
"10679","535"
"10680","536"
"10681","537"
"10682","538"
"10683","539"
"10684","540"
"10685","541"
"10686","542"
"10687","543"
"10688","544"
"10689","545"
"10690","546"
"10691","547"
"10692","548"
"10693","549"
"10694","550"
"10695","551"
"10696","552"
"10697","553"
"10698","554"
"10699","555"
"10700","556"
"10701","557"
"10702","558"
"10703","559"
"10704","560"
"10705","561"
"10706","562"
"10707","563"
"10708","564"
"10709","565"
"10710","566"
"10711","567"
"10712","568"
"10713","569"
"10714","570"
"10715","571"
"10716","572"
"10717","573"
"10718","574"
"10719","575"
"10720","576"
"10721","577"
"10722","578"
"10723","579"
"10724","580"
"10725","581"
"10726","582"
"10727","583"
"10728","584"
"10729","585"
"10730","586"
"10731","587"
"10732","588"
"10733","589"
"10734","590"
"10735","591"
"10736","592"
"10737","593"
"10738","594"
"10739","595"
"10740","596"
"10741","597"
"10742","598"
"10743","599"
"10744","600"
"10745","601"
"10746","602"
"10747","603"
"10748","604"
"10749","605"
"10750","606"
"10751","607"
"10752","608"
"10753","609"
"10754","610"
"10755","611"
"10756","612"
"10757","613"
"10758","614"
"10759","615"
"10760","616"
"10761","617"
"10762","618"
"10763","619"
"10764","620"
"10765","621"
"10766","622"
"10767","623"
"10768","624"
"10769","625"
"10770","626"
"10771","627"
"10772","628"
"10773","629"
"10774","630"
"10775","631"
"10776","632"
"10777","633"
"10778","634"
"10779","635"
"10780","636"
"10781","637"
"10782","638"
"10783","639"
"10784","640"
"10785","641"
"10786","642"
"10787","643"
"10788","644"
"10789","645"
"10790","646"
"10791","647"
"10792","648"
"10793","649"
"10794","650"
"10795","651"
"10796","652"
"10797","653"
"10798","654"
"10799","655"
"10800","656"
"10801","657"
"10802","658"
"10803","659"
"10804","660"
"10805","661"
"10806","662"
"10807","663"
"10808","664"
"10809","665"
"10810","666"
"10811","667"
"10812","668"
"10813","669"
"10814","670"
"10815","671"
"10816","672"
"10817","673"
"10818","674"
"10819","675"
"10820","676"
"10821","677"
"10822","678"
"10823","679"
"10824","680"
"10825","681"
"10826","682"
"10827","683"
"10828","684"
"10829","685"
"10830","686"
"10831","687"
"10832","688"
"10833","689"
"10834","690"
"10835","691"
"10836","692"
"10837","693"
"10838","694"
"10839","695"
"10840","696"
"10841","697"
"10842","698"
"10843","699"
"10844","700"
"10845","701"
"10846","702"
"10847","703"
"10848","704"
"10849","705"
"10850","706"
"10851","707"
"10852","708"
"10853","709"
"10854","710"
"10855","711"
